,site,sitepair,Treatment,Organism,metric,value,pollrich,plantrich
91,gutc,gut,Field Margin,Combined,NODF,42.82592593,15,23
92,gutc,gut,Field Margin,Combined,links per species,1.516129032,15,23
93,gutc,gut,Field Margin,Combined,CC Overall,0.125,15,23
94,gutc,gut,Field Margin,Combined,CC Pollinator,0.431144068,15,23
95,gutc,gut,Field Margin,Combined,CC Plants,0.383050847,15,23
96,gutc,gut,Field Margin,Combined,ISA,-0.014894389,15,23
97,whor,who,Prairie Strip,Bee,NODF,41.07726929,13,33
98,whor,who,Prairie Strip,Bee,links per species,1.736842105,13,33
99,whor,who,Prairie Strip,Bee,CC Overall,0.2,13,33
100,whor,who,Prairie Strip,Bee,CC Pollinator,0.296031746,13,33
101,whor,who,Prairie Strip,Bee,CC Plants,0.47008547,13,33
102,whor,who,Prairie Strip,Bee,ISA,-0.061456208,13,33
103,whoc,who,Field Margin,Bee,NODF,20.99358974,9,27
104,whoc,who,Field Margin,Bee,links per species,1.16,9,27
105,whoc,who,Field Margin,Bee,CC Overall,0.1875,9,27
106,whoc,who,Field Margin,Bee,CC Pollinator,0.288602941,9,27
107,whoc,who,Field Margin,Bee,CC Plants,0.235294118,9,27
108,whoc,who,Field Margin,Bee,ISA,-0.035714286,9,27
109,stor,sto,Prairie Strip,Bee,NODF,45.65305988,17,34
110,stor,sto,Prairie Strip,Bee,links per species,2.209302326,17,34
111,stor,sto,Prairie Strip,Bee,CC Overall,0.192307692,17,34
112,stor,sto,Prairie Strip,Bee,CC Pollinator,0.343304843,17,34
113,stor,sto,Prairie Strip,Bee,CC Plants,0.452432825,17,34
114,stor,sto,Prairie Strip,Bee,ISA,-0.028793974,17,34
115,stoc,sto,Field Margin,Bee,NODF,36.54096317,16,35
116,stoc,sto,Field Margin,Bee,links per species,1.790697674,16,35
117,stoc,sto,Field Margin,Bee,CC Overall,0.111111111,16,35
118,stoc,sto,Field Margin,Bee,CC Pollinator,0.280163599,16,35
119,stoc,sto,Field Margin,Bee,CC Plants,0.459355828,16,35
120,stoc,sto,Field Margin,Bee,ISA,-0.00169388,16,35
121,smir,smi,Prairie Strip,Bee,NODF,45.23572781,13,33
122,smir,smi,Prairie Strip,Bee,links per species,1.911764706,13,33
123,smir,smi,Prairie Strip,Bee,CC Overall,0.19047619,13,33
124,smir,smi,Prairie Strip,Bee,CC Pollinator,0.350803958,13,33
125,smir,smi,Prairie Strip,Bee,CC Plants,0.443806194,13,33
126,smir,smi,Prairie Strip,Bee,ISA,-0.088662761,13,33
127,smer,sme,Prairie Strip,Bee,NODF,45.72229891,17,39
128,smer,sme,Prairie Strip,Bee,links per species,2.348837209,17,39
129,smer,sme,Prairie Strip,Bee,CC Overall,0.230769231,17,39
130,smer,sme,Prairie Strip,Bee,CC Pollinator,0.365316178,17,39
131,smer,sme,Prairie Strip,Bee,CC Plants,0.414067406,17,39
132,smer,sme,Prairie Strip,Bee,ISA,-0.010848845,17,39
133,gutr,gut,Prairie Strip,Bee,NODF,38.93999905,20,36
134,gutr,gut,Prairie Strip,Bee,links per species,2.52173913,20,36
135,gutr,gut,Prairie Strip,Bee,CC Overall,0.211538462,20,36
136,gutr,gut,Prairie Strip,Bee,CC Pollinator,0.291524847,20,36
137,gutr,gut,Prairie Strip,Bee,CC Plants,0.385176991,20,36
138,gutr,gut,Prairie Strip,Bee,ISA,-0.006764606,20,36
139,gutc,gut,Field Margin,Bee,NODF,46.83333333,10,22
140,gutc,gut,Field Margin,Bee,links per species,1.36,10,22
141,gutc,gut,Field Margin,Bee,CC Overall,0.166666667,10,22
142,gutc,gut,Field Margin,Bee,CC Pollinator,0.49754386,10,22
143,gutc,gut,Field Margin,Bee,CC Plants,0.482105263,10,22
144,gutc,gut,Field Margin,Bee,ISA,-0.092427825,10,22
